Species	IMGT.GENE.DB	locus	region	functional	chr.order
Camelus dromedarius functional	TRDV1S3	TRD	V	TRUE	169
Camelus dromedarius functional	TRDV1S4	TRD	V	TRUE	170
Camelus dromedarius functional	TRDV1S5	TRD	V	TRUE	171
Camelus dromedarius functional	TRDV1S6	TRD	V	TRUE	172
Camelus dromedarius functional	TRDV2S1	TRD	V	TRUE	173
Camelus dromedarius functional	TRDV2S2	TRD	V	TRUE	174
Camelus dromedarius functional	TRDV2S3	TRD	V	TRUE	175
Camelus dromedarius functional	TRDV4S1	TRD	V	TRUE	176
Camelus dromedarius functional	TRGJ1-1	TRG	J	TRUE	177
Camelus dromedarius non-functional	TRGJ2-1	TRG	J	FALSE	178
Camelus dromedarius functional	TRGJ2-2	TRG	J	TRUE	179
Camelus dromedarius functional	TRGV1	TRG	V	TRUE	180
Camelus dromedarius functional	TRGV2	TRG	V	TRUE	181
Canis lupus familiaris functional	TRBD1	TRB	D	TRUE	182
Canis lupus familiaris functional	TRBD2	TRB	D	TRUE	183
Canis lupus familiaris functional	TRBJ1-1	TRB	J	TRUE	184
Canis lupus familiaris functional	TRBJ1-2	TRB	J	TRUE	185
Canis lupus familiaris non-functional	TRBJ1-3	TRB	J	FALSE	186
Canis lupus familiaris functional	TRBJ1-4	TRB	J	TRUE	187
Canis lupus familiaris functional	TRBJ1-5	TRB	J	TRUE	188
Canis lupus familiaris functional	TRBJ1-6	TRB	J	TRUE	189
Canis lupus familiaris non-functional	TRBJ2-1	TRB	J	FALSE	190
Canis lupus familiaris functional	TRBJ2-2	TRB	J	TRUE	191
Canis lupus familiaris functional	TRBJ2-3	TRB	J	TRUE	192
Canis lupus familiaris non-functional	TRBJ2-4	TRB	J	FALSE	193
Canis lupus familiaris functional	TRBJ2-5	TRB	J	TRUE	194
Canis lupus familiaris functional	TRBJ2-6	TRB	J	TRUE	195
Canis lupus familiaris functional	TRBV1	TRB	V	TRUE	196
Canis lupus familiaris functional	TRBV10	TRB	V	TRUE	197
Canis lupus familiaris non-functional	TRBV11	TRB	V	FALSE	198
Canis lupus familiaris non-functional	TRBV12-1	TRB	V	FALSE	199
Canis lupus familiaris functional	TRBV12-2	TRB	V	TRUE	200
Canis lupus familiaris non-functional	TRBV15	TRB	V	FALSE	201
Canis lupus familiaris functional	TRBV16	TRB	V	TRUE	202
Canis lupus familiaris functional	TRBV18	TRB	V	TRUE	203
Canis lupus familiaris non-functional	TRBV19	TRB	V	FALSE	204
Canis lupus familiaris non-functional	TRBV2-1	TRB	V	FALSE	205
Canis lupus familiaris non-functional	TRBV2-2	TRB	V	FALSE	206
Canis lupus familiaris non-functional	TRBV2-3	TRB	V	FALSE	207
Canis lupus familiaris functional	TRBV20	TRB	V	TRUE	208
Canis lupus familiaris non-functional	TRBV21	TRB	V	FALSE	209
Canis lupus familiaris functional	TRBV22	TRB	V	TRUE	210
Canis lupus familiaris functional	TRBV24	TRB	V	TRUE	211
Canis lupus familiaris functional	TRBV25	TRB	V	TRUE	212
Canis lupus familiaris non-functional	TRBV26	TRB	V	FALSE	213
Canis lupus familiaris non-functional	TRBV27	TRB	V	FALSE	214
Canis lupus familiaris non-functional	TRBV28	TRB	V	FALSE	215
Canis lupus familiaris functional	TRBV29	TRB	V	TRUE	216
Canis lupus familiaris functional	TRBV3-1	TRB	V	TRUE	217
Canis lupus familiaris functional	TRBV3-2	TRB	V	TRUE	218
Canis lupus familiaris non-functional	TRBV3-3	TRB	V	FALSE	219
Canis lupus familiaris functional	TRBV30	TRB	V	TRUE	220
Canis lupus familiaris functional	TRBV4-1	TRB	V	TRUE	221
Canis lupus familiaris functional	TRBV4-2	TRB	V	TRUE	222
Canis lupus familiaris functional	TRBV4-3	TRB	V	TRUE	223
Canis lupus familiaris non-functional	TRBV5-1	TRB	V	FALSE	224
Canis lupus familiaris functional	TRBV5-2	TRB	V	TRUE	225
Canis lupus familiaris non-functional	TRBV5-3	TRB	V	FALSE	226
Canis lupus familiaris functional	TRBV5-4	TRB	V	TRUE	227
Canis lupus familiaris non-functional	TRBV6	TRB	V	FALSE	228
Canis lupus familiaris functional	TRBV7	TRB	V	TRUE	229
Canis lupus familiaris non-functional	TRBV8	TRB	V	FALSE	230
Canis lupus familiaris non-functional	TRGJ1-1	TRG	J	FALSE	231
Canis lupus familiaris functional	TRGJ1-2	TRG	J	TRUE	232
Canis lupus familiaris non-functional	TRGJ2-1	TRG	J	FALSE	233
Canis lupus familiaris functional	TRGJ2-2	TRG	J	TRUE	234
Canis lupus familiaris non-functional	TRGJ3-1	TRG	J	FALSE	235
Canis lupus familiaris non-functional	TRGJ3-2	TRG	J	FALSE	236
Canis lupus familiaris non-functional	TRGJ4-1	TRG	J	FALSE	237
Canis lupus familiaris functional	TRGJ4-2	TRG	J	TRUE	238
Canis lupus familiaris non-functional	TRGJ5-1	TRG	J	FALSE	239
Canis lupus familiaris functional	TRGJ5-2	TRG	J	TRUE	240
Canis lupus familiaris functional	TRGJ6-1	TRG	J	TRUE	241
Canis lupus familiaris non-functional	TRGJ6-2	TRG	J	FALSE	242
Canis lupus familiaris non-functional	TRGJ7-1	TRG	J	FALSE	243
Canis lupus familiaris functional	TRGJ7-2	TRG	J	TRUE	244
Canis lupus familiaris functional	TRGJ8-1	TRG	J	TRUE	245
Canis lupus familiaris non-functional	TRGJ8-2	TRG	J	FALSE	246
Canis lupus familiaris non-functional	TRGV1-1	TRG	V	FALSE	247
Canis lupus familiaris functional	TRGV2-1	TRG	V	TRUE	248
Canis lupus familiaris functional	TRGV2-2	TRG	V	TRUE	249
Canis lupus familiaris functional	TRGV2-3	TRG	V	TRUE	250
Canis lupus familiaris functional	TRGV2-4	TRG	V	TRUE	251
Canis lupus familiaris non-functional	TRGV3-1	TRG	V	FALSE	252
Canis lupus familiaris non-functional	TRGV3-2	TRG	V	FALSE	253
Canis lupus familiaris non-functional	TRGV3-3	TRG	V	FALSE	254
Canis lupus familiaris functional	TRGV4-1	TRG	V	TRUE	255
Canis lupus familiaris non-functional	TRGV5-1	TRG	V	FALSE	256
Canis lupus familiaris functional	TRGV5-2	TRG	V	TRUE	257
Canis lupus familiaris non-functional	TRGV6-1	TRG	V	FALSE	258
Canis lupus familiaris non-functional	TRGV7-1	TRG	V	FALSE	259
Canis lupus familiaris functional	TRGV7-2	TRG	V	TRUE	260
Canis lupus familiaris functional	TRGV7-3	TRG	V	TRUE	261
Canis lupus familiaris non-functional	TRGV8-1	TRG	V	FALSE	262
Danio rerio non-functional	IGHD	IGH	D	FALSE	263
Danio rerio functional	IGHD1-1	IGH	D	TRUE	264
Danio rerio functional	IGHD1-2	IGH	D	TRUE	265
Danio rerio functional	IGHD2-1	IGH	D	TRUE	266
Danio rerio functional	IGHD2-2	IGH	D	TRUE	267
Danio rerio functional	IGHD2-3	IGH	D	TRUE	268
Danio rerio functional	IGHD2-4	IGH	D	TRUE	269
Danio rerio functional	IGHD2-5	IGH	D	TRUE	270
Danio rerio functional	IGHJ1-1	IGH	J	TRUE	271
Danio rerio functional	IGHJ1-2	IGH	J	TRUE	272
Danio rerio functional	IGHJ2-1	IGH	J	TRUE	273
Danio rerio functional	IGHJ2-2	IGH	J	TRUE	274
Danio rerio functional	IGHJ2-3	IGH	J	TRUE	275
Danio rerio functional	IGHJ2-4	IGH	J	TRUE	276
Danio rerio functional	IGHJ2-5	IGH	J	TRUE	277
Danio rerio functional	IGHV1-1	IGH	V	TRUE	278
Danio rerio functional	IGHV1-2	IGH	V	TRUE	279
Danio rerio functional	IGHV1-3	IGH	V	TRUE	280
Danio rerio functional	IGHV1-4	IGH	V	TRUE	281
Danio rerio functional	IGHV1-5	IGH	V	TRUE	282
Danio rerio functional	IGHV10-1	IGH	V	TRUE	283
Danio rerio functional	IGHV11-1	IGH	V	TRUE	284
Danio rerio functional	IGHV11-2	IGH	V	TRUE	285
Danio rerio non-functional	IGHV12-1	IGH	V	FALSE	286
Danio rerio functional	IGHV13-2	IGH	V	TRUE	287
Danio rerio functional	IGHV14-1	IGH	V	TRUE	288
Danio rerio functional	IGHV2-1	IGH	V	TRUE	289
Danio rerio functional	IGHV2-2	IGH	V	TRUE	290
Danio rerio functional	IGHV2-3	IGH	V	TRUE	291
Danio rerio functional	IGHV3-2	IGH	V	TRUE	292
Danio rerio functional	IGHV4-1	IGH	V	TRUE	293
Danio rerio functional	IGHV4-2	IGH	V	TRUE	294
Danio rerio functional	IGHV4-3	IGH	V	TRUE	295
Danio rerio functional	IGHV4-5	IGH	V	TRUE	296
Danio rerio functional	IGHV4-6	IGH	V	TRUE	297
Danio rerio functional	IGHV4-7	IGH	V	TRUE	298
Danio rerio functional	IGHV4-8	IGH	V	TRUE	299
Danio rerio functional	IGHV4-9	IGH	V	TRUE	300
Danio rerio functional	IGHV5-1	IGH	V	TRUE	301
Danio rerio non-functional	IGHV5-2	IGH	V	FALSE	302
Danio rerio functional	IGHV5-3	IGH	V	TRUE	303
Danio rerio non-functional	IGHV5-4	IGH	V	FALSE	304
Danio rerio non-functional	IGHV5-5	IGH	V	FALSE	305
Danio rerio functional	IGHV5-7	IGH	V	TRUE	306
Danio rerio non-functional	IGHV5-8	IGH	V	FALSE	307
Danio rerio functional	IGHV6-1	IGH	V	TRUE	308
Danio rerio non-functional	IGHV6-2	IGH	V	FALSE	309
Danio rerio functional	IGHV7-1	IGH	V	TRUE	310
Danio rerio functional	IGHV8-1	IGH	V	TRUE	311
Danio rerio functional	IGHV8-2	IGH	V	TRUE	312
Danio rerio functional	IGHV8-3	IGH	V	TRUE	313
Danio rerio functional	IGHV8-4	IGH	V	TRUE	314
Danio rerio functional	IGHV9-1	IGH	V	TRUE	315
Danio rerio functional	IGHV9-2	IGH	V	TRUE	316
Danio rerio functional	IGHV9-3	IGH	V	TRUE	317
Danio rerio functional	IGHV9-4	IGH	V	TRUE	318
Danio rerio functional	IGIJ1	IGI	J	TRUE	319
Danio rerio non-functional	IGIJ2	IGI	J	FALSE	320
Danio rerio functional	IGIJ3	IGI	J	TRUE	321
Danio rerio non-functional	IGIJ4	IGI	J	FALSE	322
Danio rerio functional	IGIJ5	IGI	J	TRUE	323
Danio rerio non-functional	IGIJ6S1	IGI	J	FALSE	324
Danio rerio non-functional	IGIJ7S1	IGI	J	FALSE	325
Danio rerio non-functional	IGIJ8S1	IGI	J	FALSE	326
Danio rerio non-functional	IGIV1-1	IGI	V	FALSE	327
Danio rerio functional	IGIV1-2	IGI	V	TRUE	328
Danio rerio non-functional	IGIV2	IGI	V	FALSE	329
Danio rerio functional	IGIV3-1	IGI	V	TRUE	330
Danio rerio non-functional	IGIV3-2	IGI	V	FALSE	331
Danio rerio functional	IGIV3-3	IGI	V	TRUE	332
Danio rerio non-functional	IGIV4-1	IGI	V	FALSE	333
Danio rerio non-functional	IGIV4-2	IGI	V	FALSE	334
Danio rerio non-functional	IGIV6S1	IGI	V	FALSE	335
Danio rerio non-functional	IGIV6S2	IGI	V	FALSE	336
Danio rerio non-functional	IGIV7S1	IGI	V	FALSE	337
Danio rerio non-functional	IGIV7S2	IGI	V	FALSE	338
Danio rerio non-functional	IGIV8S1	IGI	V	FALSE	339
Homo sapiens functional	CD1D	CD1	D	TRUE	340
Homo sapiens functional	IGHD	IGH	D	TRUE	341
Homo sapiens functional	IGHD1-1	IGH	D	TRUE	342
Homo sapiens non-functional	IGHD1-14	IGH	D	FALSE	343
Homo sapiens functional	IGHD1-20	IGH	D	TRUE	344
Homo sapiens functional	IGHD1-26	IGH	D	TRUE	345
Homo sapiens functional	IGHD1-7	IGH	D	TRUE	346
Homo sapiens non-functional	IGHD1/OR15-1a	IGH	D	FALSE	347
Homo sapiens non-functional	IGHD1/OR15-1b	IGH	D	FALSE	348
Homo sapiens functional	IGHD2-15	IGH	D	TRUE	349
Homo sapiens functional	IGHD2-2	IGH	D	TRUE	350
Homo sapiens functional	IGHD2-21	IGH	D	TRUE	351
Homo sapiens functional	IGHD2-8	IGH	D	TRUE	352
Homo sapiens non-functional	IGHD2/OR15-2a	IGH	D	FALSE	353
Homo sapiens non-functional	IGHD2/OR15-2b	IGH	D	FALSE	354
Homo sapiens functional	IGHD3-10	IGH	D	TRUE	355
Homo sapiens functional	IGHD3-16	IGH	D	TRUE	356
Homo sapiens functional	IGHD3-22	IGH	D	TRUE	357
Homo sapiens functional	IGHD3-3	IGH	D	TRUE	358
Homo sapiens functional	IGHD3-9	IGH	D	TRUE	359
Homo sapiens non-functional	IGHD3/OR15-3a	IGH	D	FALSE	360
Homo sapiens non-functional	IGHD3/OR15-3b	IGH	D	FALSE	361
Homo sapiens non-functional	IGHD4-11	IGH	D	FALSE	362
Homo sapiens functional	IGHD4-17	IGH	D	TRUE	363
Homo sapiens non-functional	IGHD4-23	IGH	D	FALSE	364
Homo sapiens functional	IGHD4-4	IGH	D	TRUE	365
Homo sapiens non-functional	IGHD4/OR15-4a	IGH	D	FALSE	366
Homo sapiens non-functional	IGHD4/OR15-4b	IGH	D	FALSE	367
Homo sapiens functional	IGHD5-12	IGH	D	TRUE	368
Homo sapiens functional	IGHD5-18	IGH	D	TRUE	369
Homo sapiens non-functional	IGHD5-24	IGH	D	FALSE	370
Homo sapiens functional	IGHD5-5	IGH	D	TRUE	371
Homo sapiens non-functional	IGHD5/OR15-5a	IGH	D	FALSE	372
Homo sapiens non-functional	IGHD5/OR15-5b	IGH	D	FALSE	373
Homo sapiens functional	IGHD6-13	IGH	D	TRUE	374
Homo sapiens functional	IGHD6-19	IGH	D	TRUE	375
Homo sapiens functional	IGHD6-25	IGH	D	TRUE	376
Homo sapiens functional	IGHD6-6	IGH	D	TRUE	377
Homo sapiens functional	IGHD7-27	IGH	D	TRUE	378
Homo sapiens functional	IGHJ1	IGH	J	TRUE	379
Homo sapiens non-functional	IGHJ1P	IGH	J	FALSE	380
Homo sapiens functional	IGHJ2	IGH	J	TRUE	381
Homo sapiens non-functional	IGHJ2P	IGH	J	FALSE	382
Homo sapiens functional	IGHJ3	IGH	J	TRUE	383
Homo sapiens non-functional	IGHJ3P	IGH	J	FALSE	384
Homo sapiens functional	IGHJ4	IGH	J	TRUE	385
Homo sapiens functional	IGHJ5	IGH	J	TRUE	386
Homo sapiens functional	IGHJ6	IGH	J	TRUE	387
Homo sapiens non-functional	IGHV(II)-1-1	IGH	V	FALSE	388
Homo sapiens non-functional	IGHV(II)-15-1	IGH	V	FALSE	389
Homo sapiens non-functional	IGHV(II)-20-1	IGH	V	FALSE	390
Homo sapiens non-functional	IGHV(II)-22-1	IGH	V	FALSE	391
Homo sapiens non-functional	IGHV(II)-23-1	IGH	V	FALSE	392
Homo sapiens non-functional	IGHV(II)-23-2	IGH	V	FALSE	393
Homo sapiens non-functional	IGHV(II)-26-2	IGH	V	FALSE	394
Homo sapiens non-functional	IGHV(II)-28-1	IGH	V	FALSE	395
Homo sapiens non-functional	IGHV(II)-30-1	IGH	V	FALSE	396
Homo sapiens non-functional	IGHV(II)-31-1	IGH	V	FALSE	397
Homo sapiens non-functional	IGHV(II)-33-1	IGH	V	FALSE	398
Homo sapiens non-functional	IGHV(II)-40-1	IGH	V	FALSE	399
Homo sapiens non-functional	IGHV(II)-43-1	IGH	V	FALSE	400
Homo sapiens non-functional	IGHV(II)-43-1D	IGH	V	FALSE	401
Homo sapiens non-functional	IGHV(II)-44-1D	IGH	V	FALSE	402
Homo sapiens non-functional	IGHV(II)-44-2	IGH	V	FALSE	403
Homo sapiens non-functional	IGHV(II)-44-2D	IGH	V	FALSE	404
Homo sapiens non-functional	IGHV(II)-44-3	IGH	V	FALSE	405
Homo sapiens non-functional	IGHV(II)-46-1	IGH	V	FALSE	406
Homo sapiens non-functional	IGHV(II)-49-1	IGH	V	FALSE	407
Homo sapiens non-functional	IGHV(II)-51-2	IGH	V	FALSE	408
Homo sapiens non-functional	IGHV(II)-53-1	IGH	V	FALSE	409
Homo sapiens non-functional	IGHV(II)-60-1	IGH	V	FALSE	410
Homo sapiens non-functional	IGHV(II)-62-1	IGH	V	FALSE	411
Homo sapiens non-functional	IGHV(II)-65-1	IGH	V	FALSE	412
Homo sapiens non-functional	IGHV(II)-67-1	IGH	V	FALSE	413
Homo sapiens non-functional	IGHV(II)-74-1	IGH	V	FALSE	414
Homo sapiens non-functional	IGHV(II)-78-1	IGH	V	FALSE	415
Homo sapiens non-functional	IGHV(III)-11-1	IGH	V	FALSE	416
Homo sapiens non-functional	IGHV(III)-13-1	IGH	V	FALSE	417
Homo sapiens non-functional	IGHV(III)-16-1	IGH	V	FALSE	418
Homo sapiens non-functional	IGHV(III)-2-1	IGH	V	FALSE	419
Homo sapiens non-functional	IGHV(III)-22-2	IGH	V	FALSE	420
Homo sapiens non-functional	IGHV(III)-25-1	IGH	V	FALSE	421
Homo sapiens non-functional	IGHV(III)-26-1	IGH	V	FALSE	422
Homo sapiens non-functional	IGHV(III)-38-1	IGH	V	FALSE	423
Homo sapiens non-functional	IGHV(III)-38-1D	IGH	V	FALSE	424
Homo sapiens non-functional	IGHV(III)-44	IGH	V	FALSE	425
Homo sapiens non-functional	IGHV(III)-44D	IGH	V	FALSE	426
Homo sapiens non-functional	IGHV(III)-47-1	IGH	V	FALSE	427
Homo sapiens non-functional	IGHV(III)-5-1	IGH	V	FALSE	428
Homo sapiens non-functional	IGHV(III)-5-2	IGH	V	FALSE	429
Homo sapiens non-functional	IGHV(III)-51-1	IGH	V	FALSE	430
Homo sapiens non-functional	IGHV(III)-67-2	IGH	V	FALSE	431
Homo sapiens non-functional	IGHV(III)-67-3	IGH	V	FALSE	432
